decision,left_obstacle,front_obstacle,right_obstacle,suggested_direction
1,0,0,0,-0.733749758911,-1
1,0,0,0,-0.727031067903,1
1,0,0,0,-0.742237493085,-1
0,0,0,0,-0.735489128159,-1
0,0,0,0,0.280012844965,0
0,0,0,0,0.295167570248,-1
1,0,0,0,0.287850425733,-1
1,0,0,0,-0.727031067903,-1
1,0,0,0,-0.719987155035,1
1,0,0,0,-0.735489128159,-1
1,0,0,0,-0.728400116069,0
0,0,0,0,-0.720945894754,-1
1,0,0,0,0.295167591182,1
0,0,0,0,-0.696671066303,-1
1,0,0,0,0.319331387147,1
1,0,0,0,-0.67179098242,0
1,0,0,0,-0.662453832364,0
1,0,0,0,-0.652624883293,0
1,0,0,0,-0.642269306049,1
1,0,0,0,-0.659436680401,-1
1,0,0,0,-0.648805191733,1
1,0,0,0,-0.666870306059,0
1,0,0,0,-0.685546757781,0
0,0,0,0,-0.704832326692,1
0,0,0,0,0.285666594347,0
1,0,0,0,0.276720097592,-1
1,0,0,0,-0.742237395561,0
1,0,0,0,-0.76169127992,0
1,0,0,0,-0.781623577602,0
1,0,0,0,-0.802011671973,-1
1,0,0,0,-0.795166564246,1
1,0,0,0,-0.816617443884,0
0,0,0,0,-0.838505174312,1
0,0,0,0,0.155959143055,0
0,0,0,0,0.150783488344,1
0,0,0,0,0.171358115105,-1
0,0,0,0,0.165905404216,0
0,0,0,0,0.160781816085,0
1,0,0,0,0.155959032768,-1
0,0,0,0,-0.862898141796,1
0,0,0,0,0.133069027927,0
0,0,0,0,0.129263490759,1
0,0,0,0,0.147117662565,0
0,0,0,0,0.16473935014,0
0,0,0,0,0.182106614461,0
0,0,0,0,0.19919965911,-1
0,0,0,0,0.193858201266,0
0,0,0,0,0.18878747895,0
1,0,0,0,0.183968014477,-1
1,0,0,0,-0.831954859784,0
1,0,0,0,-0.848095900108,-1
1,0,0,0,-0.844041053011,0
0,0,0,0,-0.839768502405,-1
1,0,0,0,0.17717167769,1
1,0,0,0,-0.817893385539,1
1,0,0,0,-0.83526064986,0
1,0,0,0,-0.852882337435,-1
0,0,0,0,-0.84858817263,-1
0,0,0,0,0.169502001352,0
0,0,0,0,0.187316151123,-1
1,0,0,0,0.17717167769,-1
0,0,0,0,-0.839768502405,1
0,0,0,0,0.155958946989,0
0,0,0,0,0.151904099892,0
1,0,1,0,0.148051035666,-1
-1,0,0,1,-0.867903020857,1
1,0,0,0,-0.477273411582,-1
0,0,0,0,-0.465309843843,-1
1,0,1,0,0.545395556966,1
-1,1,0,0,-0.442284318873,-1
0,0,0,0,-0.344042194159,1
1,0,0,0,0.633067727677,-1
1,0,0,0,-0.382004234424,0
0,0,0,0,-0.398196540932,1
0,0,0,0,0.579166489381,1
0,0,0,0,0.595729058187,0
0,0,0,0,0.611199403044,-1
0,0,0,0,0.590334131071,0
0,0,0,0,0.570446264257,0
0,0,0,0,0.551504863855,0
0,0,0,0,0.533475153827,0
1,0,0,0,0.516319765017,-1
